Name,Family,Paradigm,VM host,Type,Use,Characteristics,Homepage,Docs,Tutorials,Other,Created by,Created at,Created in
Clojure ,Lisp,Functional,JVM,dynamic,"web, data, desktop",,http://clojure.org/,http://clojuredocs.org/,"http://landofquil.we-do-fp.berlin/, http://clojurescriptkoans.com/, http://www.4clojure.com/, http://www.braveclojure.com/introduction/, https://clojurebridge.github.io/community-docs/docs/web-applications/easy-compojure/",(((yay parens))),Rich Hickey,,2007
R,C,Imperative,,dynamic,"maths, stats, science, data",,http://www.r-project.org/,http://www.r-project.org/other-docs.html,https://www.codeschool.com/courses/try-r,,,,
Python,C,Imperative,,dynamic,"web, data, science, desktop",,http://www.python.org/,http://docs.python.org/3/library/index.html,"https://automatetheboringstuff.com/, http://www.checkio.org/, https://www.youtube.com/watch?v=DHmeX7YTHBY&index=4&list=PL455284BB15D6E8F0 , https://www.dataquest.io/step/introduction-python, http://learnpythonthehardway.org/book/ex0.html",Me <3 the python,Guido Van Rossum,,
Processing,C,Imperative,,static,"arts, prototyping",beginners,http://processing.org/,https://processing.org/reference/,https://processing.org/tutorials/gettingstarted/,,,,
Ruby,C,Imperative,,dynamic,"web, desktop",,https://www.ruby-lang.org/en/,https://www.ruby-lang.org/en/documentation/,https://www.codeschool.com/courses/try-ruby,,,,
Javascript,C,Imperative,,dynamic,web,,https://www.javascript.com/,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference,"https://www.codeschool.com/courses/javascript-road-trip-part-1, https://www.javascript.com/resources",,Brandon Eich,,
HTML,,Imperative,,dynamic,web,,http://www.w3.org/html/,https://developer.mozilla.org/en-US/docs/Web/HTML/Reference,https://www.codeschool.com/courses/front-end-foundations,,,,
Java,C,Imperative,JVM,static,"web, desktop",,https://www.java.com/en/,https://docs.oracle.com/javase/specs/jls/se8/html/index.html,http://www.learnjavaonline.org/,,,,
Scala,C,Functional,JVM,static,data,,http://www.scala-lang.org/,http://www.scala-lang.org/api/current/#package,"http://scalatutorials.com/tour/, http://docs.scala-lang.org/tutorials/tour/tour-of-scala.html",,,,
Elm,,Functional,,static,web,Functional Reactive Programming,http://elm-lang.org/,http://elm-lang.org/docs,"http://elm-lang.org/examples, http://tutorialsvideos.com/d/3874460-graffiti-tutorial-for-beginner-step-by-step-drawing-elm, https://github.com/evancz/elm-architecture-tutorial",,Evan Czaplicki,,2012
Haskell,,Functional,,,,,https://www.haskell.org/,https://downloads.haskell.org/~ghc/7.6-latest/docs/html/libraries/index.html,http://learnyouahaskell.com/chapters,,,,
Elixir,,Functional,Erlang VM,,,,http://elixir-lang.org/,http://elixir-lang.org/docs/stable/elixir/Kernel.html,"http://elixir-lang.org/getting-started/introduction.html, https://howistart.org/posts/elixir/1",,,,
Arduino,,Imperative,,static,hardware,beginners,https://www.arduino.cc/en/Reference/HomePage,https://www.arduino.cc/en/Reference/HomePage,https://www.arduino.cc/en/Tutorial/HomePage,,,,
C,C,Imperative,,static,"hardware, desktop",,,,"http://www.learn-c.org/, http://www.dsc.ufcg.edu.br/~rangel/Beginning%20C%20For%20Arduino%20%282012%29.pdf",,,,
C++ ,C,Imperative,,static,"web, desktop",,,,http://beginnerscpp.com/category/cpp/,,,,
Julia,C,Imperative,,dynamic,"maths, science, data",high-performance computing,http://julialang.org/,http://docs.julialang.org/en/release-0.4/,https://github.com/chrisvoncsefalvay/learn-julia-the-hard-way,,,,
Go,C,Imperative,,static,,,http://golang.com/,https://golang.org/pkg/,https://tour.golang.org/welcome/1,Cutest mascot ever!,,,
Scheme,Lisp,Functional,,,,,http://www.schemers.org/,,https://classes.soe.ucsc.edu/cmps112/Spring03/languages/scheme/SchemeTutorialA.html,,,,
Guile ,Lisp,Functional,,,,,,,https://www.gnu.org/software/guile/docs/guile-tut/tutorial.html,,,,
Racket ,Lisp,Functional,,,,,,,http://docs.racket-lang.org/quick/,,,,
Lua,C,Imperative,,,,,,,http://luatut.com/crash_course.html,,,,
Nim,C,Imperative,,,,,,,http://nim-lang.org/docs/tut1.html,,,,
Rust,C,Imperative,,,,,,,https://doc.rust-lang.org/book/,,,,
Pure,,Functional,,,,,,,http://docs.pure-lang.googlecode.com/hg/puretut.html,,,,
Swift,C,Imperative,,,,,,,http://www.tutorialspoint.com/swift/,,,,
Scratch,,Imperative,,,,,,,http://studio.code.org/,,,,
